yemek_adi,kategori,fiyat,kalori,resim,aciklama
Krem Karamel,Tatlılar,140,380,tatli/krem5.png,"Yoğun karamel sosuyla tamamlanan yumuşacık krem karamel, klasik tatlardan vazgeçemeyenler için ideal. Şeflerimizin ustalığıyla hazırlanan bu tatlı, her lokmada huzur sunuyor."
San Sebastian Cheesecake,Tatlılar,190,500,tatli/sebastian6.png,"İspanya’nın meşhur tatlısı San Sebastian Cheesecake, yoğun kreması ve hafif yanık aromasıyla dikkat çekiyor. Şeflerimizin özel tarifle hazırladığı bu lezzet, unutulmaz bir tat sunuyor."
Trileçe,Tatlılar,160,420,tatli/trilece7.png,"Üç farklı sütle hazırlanan bu Balkan tatlısı, hafif ve şerbetli yapısıyla her yaştan tatlı severin favorisi oluyor. Şeflerimizin titizlikle hazırladığı bu tatlı, masanızı şenlendirecek."
Pavlova,Tatlılar,180,400,tatli/pavlova8.png,"İncecik beze tabanı ve taze meyvelerle süslenmiş bu tatlı, hafifliğiyle ideal bir son dokunuş sunuyor. Şeflerimizin özenle hazırladığı Pavlova, hem görsel hem de lezzet şöleni yaratıyor."
Sangria,İçecekler,160,200,icecek/sangria1.png,"Taze meyve dilimleriyle zenginleştirilmiş hafif tatlı bir şarap kokteyli olan Sangria, ferahlatıcı bir seçenek sunuyor. Şeflerimizin özel tarifle hazırladığı bu içecek, sofranıza Akdeniz havası katacak."
Limonata,İçecekler,70,120,icecek/limonata2.png,"Doğal limon suyu ve taze nane yapraklarıyla hazırlanan limonata, ferahlatıcı ve canlandırıcı bir lezzet sunuyor. Günün her anında keyifle tüketebileceğiniz bu içecek, şeflerimizin ustalığıyla hazırlanmaktadır."
Pisco Sour,İçecekler,180,190,icecek/pisco3.png,"Limon suyu, pisco ve hafif tatlı bir köpükle hazırlanan bu içecek, Güney Amerika’nın eşsiz tatlarını masanıza getiriyor. Şeflerimizin ustalıkla hazırladığı bu kokteyl, özel anlarınızı unutulmaz kılacak."
Yaban Mersinli Smoothie,İçecekler,90,180,icecek/yaban4.png,"Taze yaban mersini ve yoğurtla hazırlanan bu smoothie, hem besleyici hem de ferahlatıcı bir lezzet sunuyor. Şeflerimizin doğal malzemelerle hazırladığı bu içecek, enerji dolu bir seçenek."
Beyaz Şarap,İçecekler,200,150,icecek/beyaz5.png,"Seçkin bağlardan elde edilen üzümle hazırlanan beyaz şarap, hafif ve zarif bir tat sunuyor. Şeflerimizin önerisiyle, bu şarap, yemeklerinize mükemmel bir eşlikçi olacak."
Çilekli Mojito,İçecekler,150,170,icecek/cilek6.png,"Taze çilek, nane ve lime ile hazırlanan bu mojito, klasik mojitoya tatlı bir dokunuş katıyor. Şeflerimizin özel karışımıyla hazırlanan bu kokteyl, ferahlatıcı bir keyif sunuyor."
Kırmızı Şarap,İçecekler,210,160,icecek/red7.png,"Yoğun ve meyvemsi aromalarıyla kırmızı şarap, sofistike bir tat deneyimi sunuyor. Şeflerimizin seçimiyle hazırlanan bu içecek, özel yemeklerinize eşlik edecek."
Aperol Spritz Kokteyl,İçecekler,170,140,icecek/aperol8.png,"Aperol, soda ve şampanyanın uyumuyla hazırlanan bu hafif kokteyl, keyifli bir içim sunuyor. Şeflerimizin özenle hazırladığı bu içecek, sofistike bir tat arayanlar için ideal."
Focaccia,Diğer Ürünler,90,300,diger/focaccia1.jpg,"İtalya’nın ünlü ekmeği focaccia, zeytinyağı ve taze otlarla lezzetlendirilerek sunuluyor. Şeflerimizin özenle hazırladığı bu ekmek, başlangıçlar için ideal bir eşlikçi."
Narlı Peynir Topu Mezesi,Diğer Ürünler,120,230,diger/narli2.jpg,"Taze peynir topları, nar taneleriyle buluşarak şık ve lezzetli bir sunum oluşturuyor. Şeflerimizin özenle hazırladığı bu meze, sofralarınıza renk katacak."
Kavrulmuş Brüksel Lahanası,Diğer Ürünler,110,180,diger/lahana3.png,"Fırınlanmış Brüksel lahanaları, zeytinyağı ve baharatlarla harmanlanarak lezzet dolu bir tabak sunuyor. Şeflerimizin ustalığıyla hazırlanan bu sağlıklı seçenek, farklı bir tat arayanlar için ideal."
Tam Buğday Ekmeği,Diğer Ürünler,50,140,diger/bugday4.png,"Besleyici tam buğday unundan hazırlanan bu ekmek, hafif ve sağlıklı bir seçenek sunuyor. Şeflerimizin özel dokunuşlarıyla hazırlanan bu ürün, masanızda yerini alacak."
Çavdar Ekmeği,Diğer Ürünler,50,150,diger/cavdar5.png,"Sağlıklı çavdar unundan yapılan bu ekmek, taptaze ve doyurucu bir seçenek sunuyor. Şeflerimizin ustalıkla hazırladığı bu ürün, başlangıçlarınızın mükemmel bir eşlikçisi olacak."
Patates Püresi,Diğer Ürünler,80,200,diger/patates6.png,"Kremamsı dokusuyla patates püresi, yemeklerinizin yanına eşsiz bir tamamlayıcı oluyor. Şeflerimizin özenle hazırladığı bu lezzet, hem hafif hem doyurucu bir seçim sunuyor."
Bademli Kabak Mezesi,Diğer Ürünler,100,220,diger/kabak7.jpeg,"Taze kabak ve bademin uyumu, hafif bir meze lezzeti sunuyor. Şeflerimizin özel tarifle hazırladığı bu tabak, masanızda hem hafif hem şık bir dokunuş yaratıyor."
Kerevizli Ege Ezmesi,Diğer Ürünler,100,250,diger/kereviz8.jpg,"Taze kereviz ve zeytinyağının eşsiz uyumuyla hazırlanan bu meze, Ege’nin ferahlatıcı lezzetlerini masanıza taşıyor. Şeflerimizin ustalıkla hazırladığı bu tabak, hafif ve sağlıklı bir tercih sunuyor."
